Balanceamento,Modelo,Acuracia,Precisao,Recall,F1
OVERSAMPLING,arvore,0.9651508287206194,0.9605994853325177,0.971806922989577,0.9658627644902154
OVERSAMPLING,rf,0.9647254124330628,0.9593663231737108,0.9720648894582116,0.9653521698516759
OVERSAMPLING,svm,0.9248121211035182,0.9286765760506007,0.9257793710693425,0.9256984898408097
OVERSAMPLING,ann,0.5967561309882593,0.6192399311335496,0.8311344106417231,0.6180116783267865
OVERSAMPLING,logistico,0.601142895343665,0.46419947095274744,0.5408722284031524,0.4298925399681955
RAW,rf,0.9386032394622545,0.8071497040111864,0.6787943446804886,0.7321674995320195
RAW,svm,0.922485200097657,0.7261491837692322,0.6118416482782756,0.6577012012330307
RAW,arvore,0.9156479885805071,0.7080768921747067,0.6036842883298307,0.6495481940365704
RAW,ann,0.5838482639587308,0.4250321362114108,0.6708111234427024,0.39385515437825575
RAW,logistico,0.7396928352586344,0.42090316052415416,0.4412801765540756,0.358695380877403
ROSE,rf,0.9193292996098607,0.8011481257282409,0.7440750800879038,0.7638086174430976
ROSE,arvore,0.9091306896974382,0.7265479943634885,0.7013781903206199,0.7121021194280871
ROSE,svm,0.9107716129411327,0.7435627582497245,0.6948508959528206,0.7107656046172606
ROSE,ann,0.5451812526013156,0.5660724068016807,0.7790643074842485,0.5344492443972138
ROSE,logistico,0.6913320441065546,0.5733739918574874,0.5159993356808475,0.4586866891076623
SMOTE,rf,0.9374861194262193,0.9322618987372792,0.88899369633934755,0.9080200306068833
SMOTE,svm,0.9169094369217714,0.8915710129915814,0.8854180779859642,0.8870653570427415
SMOTE,arvore,0.9150051164153908,0.9193940234765192,0.8347660819918153,0.8665764724910314
SMOTE,logistico,0.5593974278393178,0.5072949828628739,0.5506805156276477,0.4072333785088026
SMOTE,ann,0.5439765298114764,0.5314892706902926,0.5531807400318919,0.39196147544997556
UNDERSAMPLING,rf,0.9053187728308566,0.9145337126294397,0.8965783959205011,0.9041412392870405
UNDERSAMPLING,svm,0.8831623941814597,0.8882817643186307,0.8982565408209876,0.8893049568670038
UNDERSAMPLING,arvore,0.8758106117826848,0.8804004837546279,0.8788469821257147,0.875966152913814
UNDERSAMPLING,ann,0.6027606703976199,0.6436596765266589,0.8438983644354213,0.625722024902686
UNDERSAMPLING,logistico,0.627728387964693,0.5573860261360262,0.7390676849108643,0.6013659892118277
