Acuracia,Precisao,Recall,F1,AcuraciaTreino,TempoSeg,Modelo,Base
0.5,0,0,0,0.9799913941480206,0.3744039535522461,logistico,02-Breast Cancer Wisconsin (Diagnostic)
0.9906542056074766,1,0.9813084112149533,0.9905660377358491,0.9780072671638936,0.4263739585876465,arvore,02-Breast Cancer Wisconsin (Diagnostic)
0.985981308411215,0.9905660377358491,0.9813084112149533,0.9859154929577464,0.9859676802447886,2.2819931507110596,rf,02-Breast Cancer Wisconsin (Diagnostic)
0.9813084112149533,1,0.9626168224299065,0.9809523809523809,0.9799435838592465,1.2043430805206299,svm,02-Breast Cancer Wisconsin (Diagnostic)
0.5,0,0,0,0.9939998087588449,0.9521210193634033,ann,02-Breast Cancer Wisconsin (Diagnostic)
0.5,0.5,1,0.6666666666666666,0.7884615384615384,0.14653301239013672,logistico,03-Pima Indians Diabetes
0.9,0.8571428571428571,0.96,0.9056603773584904,0.8428259161017781,0.46318602561950684,arvore,03-Pima Indians Diabetes
0.8966666666666666,0.8562874251497006,0.9533333333333334,0.9022082018927444,0.8914063267511543,2.42927885055542,rf,03-Pima Indians Diabetes
0.89,0.8633540372670807,0.9266666666666666,0.8938906752411575,0.8599936143039592,1.818850040435791,svm,03-Pima Indians Diabetes
0.5,0.5,1,0.6666666666666666,0.8042661361626879,0.9449880123138428,ann,03-Pima Indians Diabetes
0.746268656716418,0.6633663366336634,1,0.7976190476190476,0.8088522588522589,0.37496399879455566,logistico,04-Ionosphere
1,1,1,1,0.9172771672771672,0.45313501358032227,arvore,04-Ionosphere
0.9925373134328358,1,0.9850746268656716,0.9924812030075187,0.9459096459096459,2.019531011581421,rf,04-Ionosphere
0.9850746268656716,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.9362637362637363,0.8460829257965088,svm,04-Ionosphere
0.7611940298507462,0.6767676767676768,1,0.8072289156626505,0.9204212454212455,0.934330940246582,ann,04-Ionosphere
0.7414847161572052,0.700507614213198,0.8436681222707424,0.7654516640253567,0.7536475869809203,0.24965500831604004,logistico,05-phoneme
0.9585152838427947,0.9396984924623115,0.9799126637554585,0.9593843522873022,0.9455667789001122,3.7248728275299072,arvore,05-phoneme
0.9620087336244542,0.9460370994940978,0.9799126637554585,0.9626769626769627,0.948559670781893,13.221143960952759,rf,05-phoneme
0.8842794759825328,0.8554119547657512,0.9248908296943231,0.8887956357532522,0.8666292555181444,53.197765827178955,svm,05-phoneme
0.7606986899563318,0.6978131212723658,0.9196506550218341,0.7935192162773173,0.831275720164609,6.552945137023926,ann,05-phoneme
0.7515262515262515,0.6858367162832657,0.9282661782661783,0.7888456549935149,0.8802798483065254,0.555427074432373,logistico,06-The Mammography (Kevin Woods)
0.9829059829059829,0.9925280199252802,0.9731379731379731,0.9827373612823673,0.9824767882829868,6.817831993103027,arvore,06-The Mammography (Kevin Woods)
0.9851953601953602,0.9971848608070065,0.9731379731379731,0.9850146763479066,0.9841114162416634,23.72031307220459,rf,06-The Mammography (Kevin Woods)
0.9441391941391941,0.9575471698113207,0.9294871794871795,0.9433085501858736,0.9427880214463188,241.74121117591858,svm,06-The Mammography (Kevin Woods)
0.7512210012210012,0.6903330249768732,0.9111721611721612,0.7855263157894736,0.9284032954099647,18.352925062179565,ann,06-The Mammography (Kevin Woods)
0.5,0,0,0,0.9689374952532847,0.5917141437530518,logistico,07-Oil Spill Imbalanced Classification
0.9925373134328358,0.9852941176470589,1,0.9925925925925926,0.9896711475658844,1.6344139575958252,arvore,07-Oil Spill Imbalanced Classification
0.9944029850746269,0.988929889298893,1,0.9944341372912803,0.99840890104048,5.977712154388428,rf,07-Oil Spill Imbalanced Classification
0.957089552238806,1,0.914179104477612,0.9551656920077973,0.9992025518341308,4.596956014633179,svm,07-Oil Spill Imbalanced Classification
0.5,0.5,1,0.6666666666666666,0.9792929292929293,3.306946039199829,ann,07-Oil Spill Imbalanced Classification
