Base,ann_OVERSAMPLING,ann_RAW,ann_ROSE,ann_SMOTE,ann_UNDERSAMPLING,arvore_OVERSAMPLING,arvore_RAW,arvore_ROSE,arvore_SMOTE,arvore_UNDERSAMPLING,logistico_OVERSAMPLING,logistico_RAW,logistico_ROSE,logistico_SMOTE,logistico_UNDERSAMPLING,rf_OVERSAMPLING,rf_RAW,rf_ROSE,rf_SMOTE,rf_UNDERSAMPLING,svm_OVERSAMPLING,svm_RAW,svm_ROSE,svm_SMOTE,svm_UNDERSAMPLING
01-Credit Card Fraud Detection,0.50087344948062,0.9982795145187907,0.44122845004154915,0.5312597164127444,0.5034013605442177,0.9999296550753863,0.9994030968738662,0.9987008579019441,0.9997829390058607,0.9251700680272109,0.50133655356766,0.9979518029985605,0.5255790545522642,0.5001965281973965,0.6496598639455783,0.9999824137688466,0.9995435446682506,0.9991573132336934,0.9998474706527669,0.9421768707482994,0.9999355171524374,0.9994850247539238,0.9985370021418288,0.9998885362462527,0.9251700680272109
02-Breast Cancer Wisconsin (Diagnostic),0.5,0.37058823529411766,0.4647058823529412,0.37058823529411766,0.5,0.9672897196261683,0.9411764705882353,0.9352941176470588,0.9470588235294117,0.9682539682539683,0.5,0.37058823529411766,0.4588235294117647,0.37058823529411766,0.5,0.9719626168224299,0.9764705882352941,0.9705882352941176,0.9941176470588236,0.9682539682539683,0.9672897196261683,0.9588235294117647,0.9470588235294117,0.9705882352941176,0.9841269841269841
03-Pima Indians Diabetes,0.49666666666666665,0.34782608695652173,0.48695652173913045,0.34782608695652173,0.5,0.8633333333333333,0.7652173913043478,0.691304347826087,0.7217391304347827,0.725,0.5,0.34782608695652173,0.48695652173913045,0.34782608695652173,0.5,0.87,0.7869565217391304,0.7304347826086957,0.7347826086956522,0.78125,0.8133333333333334,0.7434782608695653,0.7043478260869566,0.717391304347826,0.73125
04-Ionosphere,0.6940298507462687,0.75,0.6346153846153846,0.6538461538461539,0.6891891891891891,0.9850746268656716,0.875,1,0.8653846153846154,0.9324324324324325,0.7089552238805971,0.8076923076923077,0.6826923076923077,0.7019230769230769,0.6891891891891891,0.9626865671641791,0.9711538461538461,0.9903846153846154,0.9423076923076923,0.972972972972973,0.9552238805970149,0.9519230769230769,0.9711538461538461,0.9326923076923077,0.972972972972973
05-phoneme,0.7218340611353712,0.5925925925925926,0.7611111111111111,0.6469465648854962,0.7126315789473684,0.9611353711790394,0.8888888888888888,0.7987654320987654,0.9107824427480916,0.8778947368421053,0.748471615720524,0.7154320987654321,0.7469135802469136,0.7294847328244275,0.7347368421052631,0.9615720524017467,0.9030864197530865,0.8117283950617284,0.9260496183206107,0.8905263157894737,0.8615720524017467,0.8623456790123457,0.812962962962963,0.8583015267175572,0.8410526315789474
06-The Mammography (Kevin Woods),0.7638888888888888,0.9847942754919499,0.9847942754919499,0.7478632478632479,0.8141025641025641,0.9848901098901099,0.9827072152653548,0.9827072152653548,0.9735958485958486,0.9102564102564102,0.7492368742368742,0.981216457960644,0.981216457960644,0.7562576312576312,0.8205128205128205,0.9868742368742369,0.9865831842576028,0.9865831842576028,0.971001221001221,0.9487179487179487,0.9453601953601953,0.9841979725700656,0.9841979725700656,0.9452075702075702,0.9358974358974359
07-Oil Spill Imbalanced Classification,0.5,0.04285714285714286,0.04285714285714286,0.5095057034220533,0.5,0.9944029850746269,0.9571428571428572,0.9571428571428572,0.9866920152091255,0.7916666666666666,0.5,0.9571428571428572,0.9571428571428572,0.5095057034220533,0.5,1,0.9464285714285714,0.9464285714285714,0.9942965779467681,0.8333333333333334,0.9309701492537313,0.9571428571428572,0.9571428571428572,0.9942965779467681,0.7916666666666666
