Base,Balanceamento,Modelo,Acuracia,Precisao,Recall,F1
02-Breast Cancer Wisconsin (Diagnostic),ROSE,arvore,0.9411764705882353,0.9176470588235294,0.9629629629629629,0.9397590361445782
02-Breast Cancer Wisconsin (Diagnostic),ROSE,rf,0.9294117647058824,0.9156626506024096,0.9382716049382716,0.9268292682926829
02-Breast Cancer Wisconsin (Diagnostic),ROSE,svm,0.9117647058823529,0.9583333333333334,0.8518518518518519,0.9019607843137256
02-Breast Cancer Wisconsin (Diagnostic),ROSE,ann,0.7529411764705882,0.8979591836734694,0.5432098765432098,0.676923076923077
03-Pima Indians Diabetes,ROSE,logistico,0.6739130434782609,0.6666666666666666,0.6607142857142857,0.6636771300448431
03-Pima Indians Diabetes,ROSE,arvore,0.691304347826087,0.6990291262135923,0.6428571428571429,0.6697674418604651
03-Pima Indians Diabetes,ROSE,rf,0.7304347826086957,0.7358490566037735,0.6964285714285714,0.7155963302752294
03-Pima Indians Diabetes,ROSE,svm,0.6652173913043479,0.6699029126213593,0.6160714285714286,0.6418604651162791
03-Pima Indians Diabetes,ROSE,ann,0.5869565217391305,0.5794392523364486,0.5535714285714286,0.5662100456621004
04-Ionosphere,ROSE,logistico,0.8173076923076923,0.8604651162790697,0.74,0.7956989247311828
04-Ionosphere,ROSE,arvore,1,1,1,1
04-Ionosphere,ROSE,rf,0.9903846153846154,1,0.98,0.98989898989899
04-Ionosphere,ROSE,svm,0.9326923076923077,1,0.86,0.924731182795699
04-Ionosphere,ROSE,ann,0.7980769230769231,0.8717948717948718,0.68,0.7640449438202247
05-phoneme,ROSE,logistico,0.7438271604938271,0.7170022371364653,0.7982565379825654,0.7554507955215085
05-phoneme,ROSE,arvore,0.7987654320987654,0.7725714285714286,0.8418430884184309,0.8057210965435042
05-phoneme,ROSE,rf,0.8117283950617284,0.7730263157894737,0.8779576587795765,0.8221574344023322
05-phoneme,ROSE,svm,0.7802469135802469,0.7259858442871587,0.8941469489414695,0.8013392857142857
05-phoneme,ROSE,ann,0.804320987654321,0.7755102040816326,0.8518057285180572,0.8118694362017805
06-The Mammography (Kevin Woods),ROSE,logistico,0.9803220035778175,0.6111111111111112,0.4230769230769231,0.5
06-The Mammography (Kevin Woods),ROSE,arvore,0.9827072152653548,0.6666666666666666,0.5128205128205128,0.5797101449275363
06-The Mammography (Kevin Woods),ROSE,rf,0.9865831842576028,0.851063829787234,0.5128205128205128,0.64
06-The Mammography (Kevin Woods),ROSE,svm,0.9824090638044126,0.7317073170731707,0.38461538461538464,0.5042016806722689
06-The Mammography (Kevin Woods),ROSE,ann,0.9859868813357185,0.7818181818181819,0.5512820512820513,0.6466165413533834
07-Oil Spill Imbalanced Classification,ROSE,logistico,0.9321428571428572,0.3157894736842105,0.5,0.3870967741935484
07-Oil Spill Imbalanced Classification,ROSE,arvore,0.9571428571428572,0,0,0
07-Oil Spill Imbalanced Classification,ROSE,rf,0.9678571428571429,0.7142857142857143,0.4166666666666667,0.5263157894736842
07-Oil Spill Imbalanced Classification,ROSE,svm,0.9821428571428571,1,0.5833333333333334,0.7368421052631579
07-Oil Spill Imbalanced Classification,ROSE,ann,0.9571428571428572,0,0,0
